track,artist,danceability,energy,speechiness,valence
From A Window,Chad & Jeremy,0.769,0.443,0.0514,0.896
Lonnie's Lament,John Coltrane Quartet,0.502,0.228,0.037,0.189
Love Walked In,Dinah Washington,0.575,0.436,0.0318,0.833
You're Nobody Till Somebody Loves You,Dean Martin,0.464,0.478,0.037,0.409
Rockin' Robin,The Rivieras,0.548,0.901,0.0352,0.98
Wade In The Water,Herb Alpert & The Tijuana Brass,0.581,0.408,0.038,0.714
I Love You,Otis Leavill,0.498,0.41,0.0329,0.669
Honky Tonk Women,The Rolling Stones,0.562,0.779,0.0592,0.967
Backlash,Freddie Hubbard,0.611,0.429,0.0461,0.681
El Cigarrito,Victor Jara,0.427,0.113,0.0391,0.66
Laurie Lee: The Abandoned Shade / Day of These Days,Laurie Lee,0.611,0.0653,0.878,0.449
Gospel Time,Elmer Bernstein,0.271,0.615,0.0347,0.822
Ave-Maria - Remastered 2006,Caetano Veloso,0.47,0.307,0.0369,0.565
You Baby,The Turtles,0.547,0.766,0.0775,0.886
So Long Baby,Del Shannon,0.549,0.918,0.0731,0.926
Pra Cha-Cha,Marinês E Sua Gente,0.378,0.879,0.0878,0.924
Nao Identificado,Gal Costa,0.325,0.394,0.0309,0.408
'Round Midnight,Gerald Wilson Orchestra,0.503,0.227,0.0314,0.208
Yummy Yummy Yummy,Ohio Express,0.7,0.718,0.0296,0.967
Disset Anys - En Directe,Raimon,0.424,0.29,0.119,0.18
I've Been Loving You Too Long,Ike & Tina Turner,0.477,0.335,0.0716,0.252
You Must Have Been A Beautiful Baby,Bobby Darin,0.707,0.549,0.0356,0.974
Sugar Shack,Jimmy Gilmer And The Fireballs,0.856,0.755,0.183,0.805
A Walk In The Black Forest,Horst Jankowski,0.701,0.38,0.0294,0.783
"Saginaw, Michigan",Lefty Frizzell,0.596,0.366,0.0325,0.853
A Reasonable Amount of Sanity,Johnny Pearson,0.604,0.388,0.0925,0.408
Wild Thing,The Troggs,0.453,0.658,0.0539,0.761
Last Hope's Gone - 1997 Remaster,The Paul Butterfield Blues Band,0.334,0.505,0.0421,0.535
Creeque Alley,The Mamas & The Papas,0.615,0.754,0.0379,0.786
IHS,Alice Coltrane,0.317,0.261,0.0339,0.335
Lightning's Girl,Nancy Sinatra,0.56,0.647,0.0287,0.54
Shine For Me,Elmer Bernstein,0.221,0.132,0.0302,0.237
Without a Song - Remastered,Sonny Rollins,0.61,0.28,0.0477,0.339
Midnight Special,Johnny Rivers,0.621,0.33,0.0413,0.972
Hippy Hippy Shake,The Swinging Blue Jeans,0.551,0.686,0.0536,0.982
You Got Soul,Johnny Nash,0.62,0.405,0.0311,0.641
I'm Gonna Miss You,The Artistics,0.385,0.612,0.0393,0.884
One Way Love,The Drifters,0.711,0.53,0.0415,0.887
The Impossible Dream,Roger Williams,0.226,0.312,0.0312,0.119
Mini Clarinet,Johnny Pearson,0.798,0.352,0.129,0.954
Requiem For John Hurt,John Fahey,0.189,0.384,0.0338,0.183
"Main Theme (From ""Schindler's List"")",John Williams,0.15,0.153,0.0431,0.108
Carrie-Anne,The Hollies,0.552,0.515,0.0383,0.859
Enamorado,Keith Colley,0.552,0.651,0.0322,0.845
The Watusi,The Vibrations,0.633,0.682,0.0321,0.831
"Suite Española No. 1, Op. 47: No. 5, Asturias (Arr. J. Williams for Guitar)",Isaac Albéniz,0.298,0.155,0.0675,0.239
"Friend, Lover, Woman, Wife",O.C. Smith,0.498,0.566,0.0722,0.896
Mon septième ciel,Johnny Hallyday,0.629,0.428,0.0336,0.737
Ain't Gonna Be That Way,Marv Johnson,0.466,0.525,0.038,0.907
The Ways To Love A Man,Tammy Wynette,0.587,0.249,0.0278,0.48
Tit For Tat (Ain't No Taking Back),James Brown,0.809,0.397,0.0428,0.929
Girl Watcher,The O'Kaysions,0.657,0.553,0.0434,0.884
A Volta Do Baião,Marinês E Sua Gente,0.608,0.663,0.0385,0.876
I Only Have Eyes For You,The Lettermen,0.455,0.274,0.0266,0.328
Exclusive Blend,Keith Mansfield,0.599,0.77,0.0289,0.723
Valse Lente,Elmer Bernstein,0.0884,0.0168,0.0455,0.0876
I'm Gonna Hold On Long As I Can,The Marvelettes,0.763,0.628,0.0351,0.474
Do the Reggae,The Tennors,0.734,0.687,0.0637,0.934
You Met Your Match,Stevie Wonder,0.715,0.587,0.0495,0.943
Whole Lotta Love,Led Zeppelin,0.412,0.902,0.405,0.422
I Don't Care (Just As Long As You Love Me),Buck Owens,0.603,0.57,0.0302,0.962
"Run, Run, Run",The Gestures,0.244,0.943,0.108,0.727
Devil Or Angel,Bobby Vee,0.389,0.266,0.0346,0.615
I've Got A Tiger By The Tail,Buck Owens,0.616,0.58,0.0331,0.959
I'm Down To My Last Heartbreak,Wilson Pickett,0.37,0.655,0.0413,0.454
The Puppet Song,Frankie Avalon,0.474,0.405,0.0309,0.575
Estaçao Da Luz,Nelson Gonçalves,0.571,0.425,0.0449,0.743
Secret Agent Man,The Ventures,0.586,0.84,0.0282,0.963
Due Torri,Mal Waldron,0.541,0.389,0.0421,0.228
17 Léguas e Meia,Gilberto Gil,0.487,0.67,0.0859,0.727
Von Apfelblüten einen Kranz,Vienna State Opera Orchestra,0.221,0.247,0.0356,0.0593
Wednesday Night Prayer Meeting - Alternative Take,Charles Mingus,0.434,0.456,0.0666,0.507
Amen,The Impressions,0.598,0.579,0.0326,0.539
Donde Vas,Tito Puente,0.58,0.695,0.0297,0.971
Crystal Blue Persuasion (45 Version),Tommy James & The Shondells,0.63,0.292,0.0389,0.765
Rigoletto [Act I]: Prelude (orchestra),Giuseppe Verdi,0.11,0.0272,0.0361,0.036
Les cactus,Jacques Dutronc,0.56,0.812,0.0411,0.919
Pandora's Golden Heebie Jeebies,The Association,0.49,0.547,0.0359,0.383
Capsule In Space,John Barry Orchestra,0.141,0.289,0.0363,0.0387
Els Contrabandistes,Traditional,0.386,0.304,0.0461,0.408
Try to Remember - Live,Harry Belafonte,0.275,0.163,0.0396,0.226
Kentucky Woman,Deep Purple,0.338,0.39,0.0346,0.304
Sarvalokaathipa,Jolly Abraham,0.678,0.551,0.0345,0.818
Sweet Dreams,Tommy McLain,0.478,0.32,0.0246,0.404
L'eclisse 3,Giovanni Fusco,0.271,0.037,0.0405,0.0751
Love Letters,Elvis Presley,0.467,0.111,0.0427,0.149
The Honey Wind Blows,Harry Belafonte,0.28,0.211,0.0298,0.295
My Boy Lollipop,Millie Small,0.693,0.441,0.0567,0.963
Il triello,Ennio Morricone,0.246,0.407,0.0323,0.145
Showgirl Walk,Elmer Bernstein,0.389,0.632,0.059,0.551
I'm So Proud,The Impressions,0.608,0.121,0.0359,0.288
Dear Lady Twist,Gary U.S. Bonds,0.524,0.892,0.235,0.936
Heart And Soul,Jan & Dean,0.564,0.371,0.0354,0.928
Hush,Deep Purple,0.577,0.664,0.0461,0.164
Lovin' Place,Gale Garnett,0.577,0.526,0.0316,0.624
She Says Good Morning,The Pretty Things,0.39,0.548,0.037,0.419
Machination,François de Roubaix,0.254,0.178,0.0313,0.0952
Viramundo,Gilberto Gil,0.723,0.565,0.0337,0.964
"O Come, All Ye Faithful (Adeste Fideles)",Traditional,0.264,0.141,0.0349,0.132
Candide: Overture,Leonard Bernstein,0.243,0.414,0.0491,0.415
It's The Little Things,Sonny & Cher,0.491,0.626,0.0378,0.627
The Bird's The Word,The Rivingtons,0.607,0.61,0.057,0.947
Make The Music Play,Dionne Warwick,0.557,0.117,0.0322,0.586
Chant des cavaliers Francs,André Hossein,0.131,0.125,0.0471,0.294
Battle Theme,Jerry Goldsmith,0.432,0.497,0.0469,0.303
Wonderful World,Herman's Hermits,0.71,0.722,0.053,0.964
Ho Chiuso Le Finestre,Jerry Adriani,0.247,0.335,0.0311,0.353
I Am The Walrus,The Beatles,0.401,0.556,0.0513,0.654
Anasazi Noodle,Silver Apples,0.463,0.568,0.0363,0.401
Arranjuez Mon Amour / Esta Tarde Vi Chover,Peter Thomas,0.472,0.461,0.037,0.443
Unchained Melody,The Righteous Brothers,0.361,0.219,0.0285,0.26
"The Good, The Bad And The Ugly - Main Title",Ennio Morricone,0.304,0.657,0.0824,0.102
For a Few Dollars More: Slim Murdered,Ennio Morricone,0.156,0.0646,0.0395,0.0484
"Good, Good Lovin'",Chubby Checker,0.568,0.813,0.154,0.94
In Time,Steve Lawrence,0.404,0.282,0.0292,0.366
Like A Baby,Len Barry,0.712,0.369,0.0471,0.758
True Love Never Runs Smooth,Gene Pitney,0.471,0.509,0.0331,0.508
We Have Love,Dinah Washington,0.656,0.312,0.26,0.938
Ala Triste,Miguelito Valdes,0.317,0.383,0.0347,0.624
Le temps des oeufs au plat,Joe Dassin,0.648,0.776,0.0393,0.954
Ahir (Diguem No) - En Directe,Raimon,0.423,0.298,0.0802,0.861
Turkish Bath,The Don Ellis Orchestra,0.514,0.561,0.0586,0.576
Lua-Lua-He (Chor der Wiesenpieper),Amon Düül,0.483,0.0318,0.128,0.194
Boom Boom Maattukkaaran,P. Susheela,0.379,0.777,0.263,0.852
La Mentira (The Lie),Gerald Wilson Orchestra,0.368,0.411,0.0367,0.464
"Madama Butterfly, Act II: Che vuol da me? (Butterfly, Suzuki, Sharpless, Kate)",Giacomo Puccini,0.316,0.0463,0.0473,0.0373
Think,Aretha Franklin,0.69,0.75,0.0442,0.905
A Wonderful Dream,The Majors,0.532,0.829,0.122,0.94
Alle Terme,Gino Marinuzzi,0.208,0.297,0.0423,0.0791
The Popeye Waddle,Don Covay,0.629,0.699,0.0718,0.793
Yearnin',Oliver Nelson,0.597,0.267,0.0397,0.443
Olimpia's Theme - Bossa Nova,Francis Lai,0.534,0.346,0.0291,0.622
The Edge Of Wonder,Silver Apples,0.615,0.311,0.042,0.419
Blow The Man Down,Traditional,0.306,0.526,0.0463,0.36
Shorter Poems: Four for Sir John Davies,Theodore Roethke,0.705,0.0522,0.485,0.439
We Will Fall,The Stooges,0.192,0.266,0.0307,0.0327
"Madama Butterfly, Act II: Addio, fiorito asil (Pinkerton, Sharpless)",Giacomo Puccini,0.238,0.304,0.0354,0.177
Do The Bird,Dee Dee Sharp,0.641,0.673,0.0407,0.929
The B.B. Jones,B.B. King,0.862,0.554,0.0825,0.764
"Baby, Do The Philly Dog",The Olympics,0.645,0.704,0.0321,0.908
Dance On Little Girl,Paul Anka,0.584,0.489,0.03,0.896
I Can't Turn You Loose,The Chambers Brothers,0.494,0.806,0.0489,0.926
It Was A Very Good Year,Frank Sinatra,0.215,0.142,0.0325,0.126
Long Lonely Nights,Bobby Vinton,0.295,0.365,0.0296,0.268
Ricardo,Gerald Wilson Orchestra,0.316,0.342,0.0567,0.369
The Inch Worm,John Coltrane Quartet,0.34,0.437,0.035,0.652
Any Way That You Want Me,Liverpool Five,0.399,0.423,0.0299,0.472
In C - 2009 Remastered,Terry Riley,0.492,0.507,0.0434,0.0791
I Want You,Bob Dylan,0.508,0.68,0.0373,0.792
Enakkum Unakkumthaan,P. Susheela,0.362,0.439,0.0628,0.533
Marie Antoinette - Remastered,Freddie Hubbard,0.397,0.456,0.0785,0.444
Januária,Chico Buarque,0.676,0.478,0.0476,0.808
Petita Cançó de la Teva Mort,Raimon,0.624,0.194,0.0687,0.421
When I Get Thru With You (You'll Love Me Too),Patsy Cline,0.588,0.296,0.0464,0.724
"634-5789 (Soulsville, U.S.A.)",Wilson Pickett,0.665,0.454,0.035,0.839
Eternity,Vikki Carr,0.468,0.532,0.0572,0.316
On A Saturday Night,Eddie Floyd,0.781,0.739,0.116,0.826
Two Wrongs Don't Make A Right,Mary Wells,0.277,0.338,0.0309,0.506
Frogg,The Brothers Four,0.534,0.298,0.123,0.726
California Dreamin',Bobby Womack,0.47,0.385,0.0296,0.694
"La Traviata - Opera in three acts (1992 Digital Remaster), Act II: Di Provenza il mar",Giuseppe Verdi,0.24,0.0433,0.0394,0.0701
Stunt Suite,Trevor Rabin,0.14,0.374,0.0405,0.12
Lara's Theme - Swing Version,Maurice Jarre,0.417,0.308,0.0372,0.9
"Pagliacci (Sung in German): Act II Scene 2: Pagliaccio, mio marito",Ruggero Leoncavallo,0.46,0.0529,0.0287,0.31
Bittersweet Interlude,Georges Delerue,0.151,0.0964,0.0358,0.0586
La Pase Gozando,Tito Puente,0.647,0.493,0.0341,0.554
Fiesta,Joan Manuel Serrat,0.49,0.567,0.0674,0.673
Mack's Track,Francy Boland,0.45,0.458,0.0361,0.831
Daydream,The Lovin' Spoonful,0.822,0.332,0.0506,0.834
Baby What Do You Want Me To Do,Barbara Lewis,0.625,0.457,0.0315,0.815
Oo-La-La-Limbo,Danny & The Juniors,0.554,0.785,0.0332,0.961
"L'Elisir d'amore, 'Elixir of Love' (1988 Digital Remaster), Act II: + bellissima!",Gaetano Donizetti,0.468,0.31,0.135,0.57
Secret Love,Billy Stewart,0.7,0.648,0.0648,0.906
That'll Be The Day,Buddy Holly,0.519,0.636,0.0316,0.876
"Bass, Gestrichen (Pot Plantage, Kollaps)",Amon Düül,0.499,0.415,0.0424,0.75
Linda,Daniel Santos,0.75,0.223,0.129,0.756
The Fairest Of The Seasons,Nico,0.349,0.203,0.0309,0.291
I Like What You're Doing (To Me),Carla Thomas,0.721,0.286,0.0425,0.775
"Die verkaufte Braut, JB 1:100, Act III: Tanz der Komödianten",Staatskapelle Dresden,0.465,0.388,0.0451,0.268
Hello Walls,Faron Young,0.62,0.406,0.0281,0.695
Niki Hoeky,P.J. Proby,0.745,0.623,0.12,0.907
To Be A Lover,Gene Chandler,0.526,0.382,0.0468,0.649
Almost Persuaded,Etta James,0.465,0.408,0.0319,0.355
I Got A Line On You,Spirit,0.433,0.487,0.0326,0.822
Summer Nights,Marianne Faithfull,0.553,0.538,0.0438,0.753
The Son Of Mary,Harry Belafonte,0.169,0.109,0.0453,0.155
Looking Glass,Denise Levertov,0.806,0.0603,0.667,0.459
"Our Man Flint: In Like Flint - From ""Our Man Flint""",Jerry Goldsmith,0.403,0.0343,0.0364,0.0756
Sait-on jamais où va une fille quand elle vous quitte ?,Serge Gainsbourg,0.457,0.062,0.0806,0.319
Forever,Mercy,0.374,0.289,0.0317,0.337
The Age of Innocence: Theme,Elmer Bernstein,0.141,0.143,0.0407,0.134
I've Got News For You,Ray Charles,0.459,0.379,0.0461,0.425
Looking Back,Joe Simon,0.488,0.333,0.0249,0.598
Clara - Remastered 2006,Gal Costa,0.538,0.606,0.0553,0.752
Rita Lee,Os Mutantes,0.409,0.671,0.0738,0.575
Aquellas Pequeñas Cosas,Joan Manuel Serrat,0.469,0.249,0.0302,0.306
West Side Story: Act I: Maria,Leonard Bernstein,0.159,0.162,0.0358,0.195
Chuva Miúda,Ary Lobo,0.516,0.605,0.0421,0.857
The Surrender (La Resa),Ennio Morricone,0.177,0.523,0.0351,0.0952
Haunted House,Jumpin' Gene Simmons,0.605,0.632,0.0639,0.98
Bouncing With Bud,Georges Arvanitas,0.532,0.55,0.03,0.704
Rigoletto: Act II: Ella mi fu rapita! … Parmi veder,Giuseppe Verdi,0.248,0.273,0.0474,0.138
¿Y Qué?,La Lupe,0.579,0.641,0.0521,0.921
"Our Man Flint: End Titles - From ""Our Man Flint""",Jerry Goldsmith,0.475,0.515,0.0407,0.548
Get Me To The World On Time,The Electric Prunes,0.336,0.677,0.0548,0.315
Only Those In Love,Baby Washington,0.248,0.417,0.0352,0.244
Chelsea Girls,Nico,0.378,0.103,0.0376,0.238
Spanish Lace,Gene McDaniels,0.61,0.37,0.0368,0.898
Good Lovin',The Olympics,0.541,0.777,0.0906,0.703
Roda-Viva,Chico Buarque,0.502,0.512,0.0337,0.651
Let's Lock The Door (And Throw Away The Key),Jay & The Americans,0.653,0.649,0.04,0.834
Organ Mania,Alan Hawkshaw,0.518,0.68,0.0348,0.542
Maria Elena,Los Indios Tabajaras,0.665,0.0989,0.0458,0.591
The Touchables In Brooklyn,Dickie Goodman,0.72,0.455,0.847,0.795
Sunday at Ten,Francy Boland,0.507,0.64,0.0781,0.539
Bobby's Girl,Marcie Blane,0.537,0.581,0.0343,0.879
Ida Lupino,Paul Bley Trio,0.447,0.0455,0.047,0.127
Rainbow,Gene Chandler,0.29,0.274,0.027,0.521
Sunny,Neil Sedaka,0.606,0.661,0.0354,0.866
É Só Sambar,Jorge Ben Jor,0.532,0.327,0.0312,0.616
Big 'O',Elmer Bernstein,0.416,0.378,0.0324,0.198
Lurdinha,Canhoto,0.436,0.204,0.0371,0.289
L'eclisse 6,Giovanni Fusco,0.436,0.00274,0.0557,0.2
Little Bit Of Rain,Karen Dalton,0.432,0.0554,0.0395,0.361
Cançó del Capvespre,Raimon,0.496,0.159,0.0339,0.0654
Remember The Rain,Bob Lind,0.566,0.622,0.0302,0.763
Cry Baby Cry,The Angels,0.319,0.313,0.0281,0.472
To the Snake,Denise Levertov,0.735,0.043,0.705,0.344
The Dancing Lesson (1966 Album),Jerry Goldsmith,0.535,0.154,0.0422,0.28
Summer Samba (So Nice),Walter Wanderley,0.746,0.529,0.0312,0.839
Titoli 4,Giovanni Fusco,0.527,0.0683,0.0389,0.192
How Firm a Foundation - Voice,Traditional,0.297,0.114,0.0304,0.417
What Now,Gene Chandler,0.401,0.606,0.0651,0.687
Keep On Pushing,The Impressions,0.677,0.539,0.0408,0.695
Please Let Me Wonder,The Beach Boys,0.54,0.49,0.0305,0.488
Teenage Sonata,Sam Cooke,0.352,0.317,0.0308,0.506
Cuanto Te Debo,Vicente Fernández,0.537,0.421,0.0277,0.784
Hurt By Love,Inez Foxx,0.738,0.574,0.0348,0.871
Rock Me Baby,B.B. King,0.715,0.544,0.0574,0.67
The Young Folks,Diana Ross & The Supremes,0.448,0.438,0.0261,0.512
Ebony Eyes,The Everly Brothers,0.401,0.161,0.03,0.279
I Guess I'm Crazy,Jim Reeves,0.497,0.261,0.0273,0.616
I Talk To The Wind,King Crimson,0.273,0.308,0.0377,0.313
Se Você Pensa - Versão remasterizada,Roberto Carlos,0.588,0.527,0.0382,0.679
Priscilla,Soft Machine,0.346,0.268,0.0315,0.372
Lo Sé (I Will),Enrique Guzman,0.702,0.384,0.0625,0.645
Band Rehearsal,Jerry Goldsmith,0.549,0.321,0.0352,0.793
Don't Bring Me Down,The Animals,0.53,0.789,0.046,0.784
Warm And Tender Love,Percy Sledge,0.493,0.267,0.0238,0.615
Un Muchacho Como Yo,Palito Ortega,0.608,0.859,0.0522,0.951
Pictures Of Lily,The Who,0.524,0.668,0.0432,0.794
"Symphony No. 4 in A Major, Op. 90 ""Italian"": III. Con moto moderato",National Philharmonic Orchestra,0.228,0.0664,0.0416,0.104
"Gallo Rojo, Gallo Negro (Los Dos Gallos)",Chicho Sánchez Ferlosio,0.663,0.116,0.0944,0.438
If I'm A Fool For Loving You,Bobby Wood,0.37,0.35,0.0271,0.593
Mary Had A Little Lamb,Buddy Guy,0.747,0.446,0.0374,0.804
It'S A Raggy Waltz,Dave Brubeck,0.462,0.41,0.0409,0.684
Love Can Tame the Wild - Bonus Track,The Monks,0.642,0.454,0.0323,0.903
Aade Paade Pasi Vada - Male Vocals,P. Susheela,0.452,0.577,0.0585,0.894
She Cried,Jay & The Americans,0.418,0.368,0.0271,0.552
69 année érotique,Serge Gainsbourg,0.545,0.345,0.0318,0.681
Starlight Noodle,Silver Apples,0.605,0.529,0.0491,0.573
"Adeus, Adeus Morena",Carmelia Alves,0.455,0.855,0.051,0.831
If You Think I'm Licked,Mal Waldron,0.432,0.522,0.042,0.465
"Der Waffenschmied: Akt II - Duett ""Ihr wisst, dass er Euch liebt?""",Staatskapelle Berlin,0.449,0.15,0.0517,0.22
La Traviata: Act I: Libiamo ne' lieti calici,Giuseppe Verdi,0.268,0.169,0.0617,0.224
All Of Me,Lee Konitz,0.498,0.65,0.106,0.695
The Happy Song (Dum-Dum),Otis Redding,0.733,0.394,0.03,0.792
Revolution,The Beatles,0.407,0.834,0.208,0.71
Not Enough Indians,Dean Martin,0.557,0.423,0.0409,0.699
Please Return Your Love To Me,The Temptations,0.446,0.349,0.0425,0.85
Ela É Carioca,MPB4,0.603,0.265,0.0351,0.413
Oryge,Francy Boland,0.525,0.556,0.0409,0.72
El Carbonero,La Lupe,0.57,0.637,0.129,0.855
Funny How Time Slips Away,Jimmy Elledge,0.267,0.261,0.0301,0.41
I Count The Tears,The Drifters,0.554,0.476,0.0264,0.806
Something Good (Is Going To Happen To You),Carla Thomas,0.837,0.324,0.0393,0.965
"West Side Story: Act I: Gee, Officer Krupke",Leonard Bernstein,0.598,0.45,0.442,0.843
Le gamin de Paris,Yves Montand,0.499,0.363,0.0728,0.748
Requiem pour un con,Serge Gainsbourg,0.607,0.363,0.369,0.371
Black Coffee,Miguelito Valdes,0.484,0.4,0.042,0.476
I Got What I Wanted,Brook Benton,0.669,0.275,0.0336,0.635
Christmas Is Coming,Harry Belafonte,0.705,0.343,0.0536,0.764
The April Fools,Dionne Warwick,0.291,0.226,0.0299,0.126
ATFW You,Charles Mingus,0.368,0.508,0.19,0.49
Tema romantico 1,Giovanni Fusco,0.511,0.369,0.0307,0.782
Mi Tumbao,Miguelito Valdes,0.515,0.541,0.226,0.692
Ghanudabhoosuru,P. Susheela,0.503,0.237,0.0629,0.183
Dá-Me,Toquinho,0.482,0.103,0.0554,0.383
Los Macarras de la Moral,Joan Manuel Serrat,0.753,0.691,0.192,0.797
Tema attesa 3,Giovanni Fusco,0.613,0.339,0.0586,0.864
West Side Story: Act I: Tonight,Leonard Bernstein,0.298,0.124,0.0504,0.146
Can I Change My Mind,Tyrone Davis,0.545,0.669,0.0456,0.886
Hotel Happiness,Brook Benton,0.641,0.345,0.0452,0.668
You Do Something to Me - Remastered,Sonny Rollins,0.579,0.161,0.0579,0.231
I'm Gonna Love You Too,The Hullaballoos,0.572,0.843,0.0361,0.969
Break Away,The Beach Boys,0.611,0.602,0.0341,0.566
"Far, Far Away",Don Gibson,0.66,0.515,0.0303,0.567
In Lara's Bedroom (Lara's Theme),Maurice Jarre,0.261,0.155,0.0372,0.457
Somewhere,P.J. Proby,0.329,0.272,0.0351,0.328
"Ay, Carmela",Chicho Sánchez Ferlosio,0.659,0.242,0.0973,0.673
Punch and Judy Waltz,Michel Legrand,0.609,0.619,0.078,0.96
Vitrines,Gilberto Gil,0.405,0.341,0.0646,0.437
Is It True,Brenda Lee,0.721,0.782,0.0358,0.81
Sonho De Maria,Marcos Valle,0.345,0.369,0.0315,0.354
Old Enough To Love,Ricky Nelson,0.688,0.567,0.0294,0.478
La Flor de la Canela,Amalia Mendoza,0.436,0.383,0.101,0.818
The Shoop Shoop Song (It's In His Kiss),Betty Everett,0.652,0.456,0.0569,0.966
Julia,Vicente Fernández,0.405,0.173,0.0348,0.334
I Wish I Knew,John Coltrane Quartet,0.48,0.127,0.0355,0.209
Dhun (Dadra And Fast Teental) - Live,Ravi Shankar,0.382,0.705,0.0504,0.479
Suzanne (Every Night When the Sun Goes Down) - Live,Harry Belafonte,0.354,0.051,0.0753,0.125
Let's Think About Living,Bob Luman,0.613,0.701,0.0755,0.964
Cançao De Verão,Trio Melodia,0.718,0.569,0.0294,0.834
Things,Bobby Darin,0.562,0.558,0.0453,0.839
Whirly-Bird,Silver Apples,0.598,0.535,0.0492,0.411
Don't Touch Me,Jeannie Seely,0.436,0.0707,0.0344,0.216
"Roll On, Buddy",Harry Belafonte,0.59,0.558,0.038,0.733
"You Need Me, Baby",Joe Tex,0.647,0.657,0.0369,0.938
Out Of This World,The Chiffons,0.504,0.694,0.0414,0.822
I Take A Lot Of Pride In What I Am,Dean Martin,0.418,0.482,0.0658,0.398
La Missione San Antonio,Ennio Morricone,0.0725,0.0816,0.0383,0.0485
Baby the Rain Must Fall (Reprise),Elmer Bernstein,0.473,0.402,0.0475,0.647
In the Nursery,Johnny Hawksworth,0.484,0.265,0.0359,0.0394
Ready For Your Love,Shep And The Limelites,0.405,0.29,0.0334,0.538
Lindberg,Robert Charlebois,0.3,0.58,0.0509,0.24
Luthers julsång - Instrumental,Swedish Radio Symphony Orchestra,0.143,0.27,0.0347,0.172
A Quiet Place,Garnet Mimms & The Enchanters,0.689,0.378,0.0398,0.75
Buying A Book,Joe Tex,0.507,0.431,0.136,0.824
Droom,Elly Nieman,0.324,0.257,0.0354,0.376
FUNNY FREAK PARADE,Ultimate Spinach,0.512,0.853,0.0673,0.711
Party Lights,Claudine Clark,0.645,0.6,0.238,0.701
"Eugene Onegin, Op. 24, TH 5: Polonaise. Moderato",Pyotr Ilyich Tchaikovsky,0.356,0.23,0.0385,0.326
That Little Old Graverobber Me,Don Hinson & The Rigamorticians,0.613,0.521,0.212,0.656
Family Outing,David Lindup,0.594,0.543,0.0291,0.758
Sweets For My Sweet,The Drifters,0.773,0.796,0.0371,0.963
Passarinho,Sérgio Ricardo,0.6,0.234,0.0688,0.605
Where Are You,Frankie Avalon,0.155,0.303,0.0319,0.205
Gentle On My Mind,Aretha Franklin,0.506,0.501,0.0556,0.618
Tell Me More About That Volcano,Jerry Goldsmith,0.203,0.282,0.0348,0.0398
Deus É O Amor,Gal Costa,0.547,0.638,0.0818,0.782
Along Comes Mary,The Association,0.584,0.62,0.0513,0.857
Hasta La Tumba,Vicente Fernández,0.347,0.325,0.0282,0.398
Yesuve Deiveeka Marunthe,D. G. S. Dhinakaran,0.52,0.256,0.27,0.569
High Beg's,Francy Boland,0.274,0.269,0.0483,0.345
Silver Bells,The Merrymen,0.374,0.265,0.0408,0.517
You're Gonna Make Me Cry,O.V. Wright,0.446,0.236,0.0404,0.375
C.C. Rider,Bobby Powell,0.66,0.242,0.0321,0.743
Remember Diana,Paul Anka,0.622,0.737,0.0306,0.966
Antes Que Tú,Vicente Fernández,0.572,0.33,0.0318,0.581
Emotions,Brenda Lee,0.466,0.416,0.026,0.516
Change Partners,Antônio Carlos Jobim,0.371,0.244,0.0385,0.208
Hoy Puede Ser un Gran Dia,Joan Manuel Serrat,0.521,0.79,0.241,0.915
The Days Of Sand And Shovels,Bobby Vinton,0.38,0.27,0.0314,0.149
The Plum Blossom - Rudy Van Gelder Remaster,Yusef Lateef,0.64,0.122,0.0719,0.742
Al Di La',Emilio Pericoli,0.32,0.301,0.0293,0.217
Whispering,Nino Tempo & April Stevens,0.485,0.435,0.0387,0.611
Máh-Ná-Mah-Ná,Piero Umiliani,0.75,0.512,0.0721,0.825
The Green Leaves Of Summer,The Brothers Four,0.463,0.238,0.0269,0.369
A quien corresponda,Patxi Andion,0.402,0.622,0.0298,0.397
Je t'aime moi non plus,Serge Gainsbourg,0.465,0.419,0.0287,0.553
Tre colpi di Winchester per Ringo,Armando Sciascia Orchestra,0.37,0.694,0.0329,0.868
A Colps - En Directe,Raimon,0.53,0.287,0.417,0.87
Hreemkarasana,P. Susheela,0.488,0.333,0.0439,0.482
Travestis,Alain Goraguer,0.374,0.303,0.0284,0.16
Song for Insane Times - 2003 Remaster,Kevin Ayers,0.6,0.568,0.037,0.784
This Magic Moment,The Drifters,0.27,0.599,0.0327,0.7
S-W-I-M,Bobby Freeman,0.445,0.629,0.0582,0.728
Bitterlings Verwandlung,Amon Düül,0.386,0.725,0.0527,0.174
Coco Da Juliana,Ary Lobo,0.679,0.866,0.101,0.963
Will You Love Me Tomorrow,The Shirelles,0.55,0.382,0.0263,0.464
Annu Ninne - Duet,P. Susheela,0.363,0.432,0.0365,0.461
Ain't That Loving You Baby,Elvis Presley,0.584,0.761,0.0414,0.913
Come Saturday Morning,The Sandpipers,0.168,0.593,0.0387,0.718
You Are My Sunshine,Ray Charles,0.483,0.295,0.0454,0.651
The Gypsy Cried,Lou Christie,0.488,0.716,0.0394,0.817
Up Tight,Ramsey Lewis,0.731,0.66,0.034,0.768
Why Did I Choose You,Barbra Streisand,0.158,0.119,0.0367,0.106
People Got To Be Free,The Rascals,0.685,0.696,0.0364,0.96
