track_name,artists,danceability,energy,speechiness,valence,text
Judas,Lady Gaga,0.661,0.937,0.0744,0.535,"Whoa whoa I'm in love with Juda-as, Juda-as Whoa whoa I'm in love with Juda-as, Juda-as Juda-as! Juda-ah-as! Judas! Juda-ah-as Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah Juda-as! Juda-ah-as! Judas! Juda-ah-as Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah When he calls to me, I am ready I'll wash his feet with my hair if he needs Forgive him when his tongue lies through his brain Even after three times he betrays me Ah oh I'll bring him down, bring him down, down Ah oh a king with no crown, king with no crown I'm just a holy fool, Oh baby it's so cruel but I'm still in love with Judas baby I'm just a Holy Fool, oh baby it's so cruel But I'm still in love with Judas baby Whoa whoa I'm in love with Juda-as, Juda-as Whoa whoa I'm in love with Juda-as, Juda-as Juda-as! Juda-ah-as! Judas! Juda-ah-as Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah I couldn't love a man so purely Even darkness forgave his goofy way I've learned love is like a brick you can Build a house or sink a dead body Ah oh I'll bring him down, bring him down, down Ah oh a king with no crown, king with no crown I'm just a holy fool, oh baby it's so cruel But I'm still in love with Judas, baby I'm just a holy fool, oh baby it's so cruel But I'm still in love with Judas, baby Whoa whoa I'm in love with Juda-as, Juda-as Whoa whoa I'm in love with Juda-as, Juda-as In the most Biblical sense, I am beyond repentance Fame hooker, prostitute wench, vomits her mind But in the cultural sense I just speak in future tense Judas kiss me if offenced, Or wear an ear condom next time I wanna love you, but something's pulling me away from you Jesus is my virtue and Judas is the demon I cling to I cling to Just a holy fool, oh baby he's so cruel But I'm still in love with Judas, baby I'm just a holy fool, oh baby it's so cruel But I'm still in love with Judas, baby Whoa whoa I'm in love with Juda-as, Juda-as Whoa whoa I'm in love with Juda-as, Juda-as Juda-as! Juda-ah-as! Judas! Juda-ah-as Juda-as! Juda-ah-as! Judas! Ga-ah ga-ah "
Lost In The Echo,Linkin Park,0.546,0.98,0.0619,0.478,"(Yeah) (Yo) You were that foundation Never gonna be another one, no I followed, so taken So conditioned I could never let go Then sorrow, then sickness Then the shock when you flip it on me So hollow, so vicious So afraid I couldn't let myself see That I could never be held Back up, no, I'll hold myself Check the rep, yep you know my rail Forget the rest let them know my hell Damn, I'm back yep, my soul ain't sell, Kept respect up the vets stay their, Let the rest be to tell they tale That I was there saying [Chorus] And these promises broken Deep, feeble Each word gets lost in the echo So one last lie I can see through This time I finally let you Go, go, go Test my will, test my heart Let me tell you how the odds gonna stack up Y'all go hard, I go smart How's it working out for y'all in the back, huh? I've seen that frustration Big cross, they're lost but don't know And I've come back unshaken Let down, I've lived and let go So you can let it be known I don't hold back, I hold my own I can't be mad, I can't be calm I can't sing flat, it ain't my tone I can't fall back, I came too far Hold myself up and love my scars Let the bells ring wherever they are 'Cause I was there saying [Chorus] No, you can tell 'em all now I don't back up, I don't back down I don't fold up, and I don't bow I don't roll over, don't know how I don't care where the enemies are Can't be stopped, all I know go hard! Won't forget how I got this far And every time, saying [Chorus] "
Til It's Gone,Kenny Chesney,0.499,0.822,0.049,0.499,"(Verse) Got nowhere to go and how am I to get there But I'm goin' there with you Tonight we're runnin' on luck If we're gonna use it all there's only one thing left to do (Chorus) Gonna take a deep breath, hold it in Twirl you around till my head spins Kiss that lipstick till it's left thin Till it's gone, till it's gone Break every rule we eva learned Kick back and watch the big wheels turn Light up the night and let it burn till it's gone Till it's gone, till it's gone... (Verse 2) You look way 2 good and this feels way 2 right It's been way 2 long to start But it's sure worth drinkin' to, so baby here's to you I don't wanna waste a drop (Chorus) Gonna take a deep breath, hold it in Twirl you around till my head spins Kiss that lipstick till it's left thin Till it's gone, till it's gone Break every rule we eva learned Kick back and watch the big wheels turn Light up the night and let it burn till it's gone Till it's gone, till it's gone... (Instrumental break) (Bridge) One life, one chance! One ticket to the big dance! You and me still holdin' on Ride it down to the last song (Chorus) Gonna take a deep breath, hold it in Twirl you around till my head spins Kiss that lipstick till it's left thin Till it's gone, till it's gone Break every rule we eva learned Kick back and watch the big wheels turn Light up the night and let it burn till it's gone Till it's gone, till it's gone... (Outro) I'm gonna drink it all up Till it's gone, then it's gone, it is gone "
The Language,Drake,0.831,0.651,0.437,0.502,"I don't know why they been lying but yo shit is not that inspiring Bank account statements just look like I'm ready for early retirement Fuck any nigga that's talkin' that shit just to get a reaction Fuck going platinum, I looked at my wrist and it's already platinum I am the kid with the motor mouth I am the one that you should worry about I don't know who you're referring to, who is this nigga you heard about? Someone just talking that bullshit, someone just gave you the run-around Niggas downplaying the money but that's what you do when the money down I don't waste time putting money down I just go straight to who got it and buy it in cash Pussy so good that you gotta come see me on tour and you gotta fly in first class This has been years in the making, it's all for the city You know I come right every summer, Cash Money Records forever I'm always big timing, bitch, I came up right under Stunna, you know it Jealousy in the air tonight, I could tell I will never understand that but oh well Been ready, it's real, I don't know about you She just want to smoke and fuck, I said ""Girl, that's all that we do"" Okay, now you're talking my language, now you're talking my language Now you're talking my language, now you're talking my language Been ready, it's real, I don't know about you She just want to smoke and fuck, I said ""Girl, that's all that we do"" I'm about to roll one and light it and fuck it man, no one's invited I got to kill off the weak shit that's got all you niggas excited I can't even listen, you whylin', I'd much rather sit here in silence I send all my money to banks in the islands and eat with Italians, I do People are funny you don't even know about the shit that I been through I just want some head in a comfortable bed, it could all be so simple Talking that shit with your back to me, just know it always get back to me Come get your girl, she been here for three days and she way too attached to me Hate when they get too attached to me I got to get on the bus and get back on the road Get what I can out the country and then I just get on the jet and go back to the cold Can't even drive with the top off Been workin' so hard on the album I missed the whole summer I just might bring in some girls from Miami To heat up the city and that's word to Stunna, you know it Jealousy in the air tonight, I could tell I will never understand that but oh well Been ready, it's real, I don't know about you She just want to smoke and fuck, I said ""Girl, that's all that we do"" Okay, now you're talking my language now you're talking my language Now you're talking my language, now you're talking my language Been ready, it's real, I don't know about you She just want to smoke and fuck, I said ""Girl, that's all that we do"" Famous and gangstas You understand me? Showtime, headlines Big time, sunshine, tote nines Bust mines, flatline, hard grind High life, stay fly it's jet time Stunt nigga, every time you see a nigga Stunt nigga, every time you see a nigga Stunt nigga, swag on head to feet nigga Stunt nigga, I might just bring in some girls from Miami to heat up the city and that's word to Stunna you know it "
One More Night,Maroon 5,0.718,0.82,0.0323,0.613,"You and I go hard at each other like we're going to war You and I go rough, we keep throwing things and slamming the door You and I get so damn dysfunctional, we start keeping score You and I get sick, yeah I know that we can't do this no more But baby there you go again, there you go again, making me love you Yeah I stopped using my head, using my head, let it all go Got you stuck on my body, on my body like a tattoo And now I'm feeling stupid, feeling stupid coming back to you So I cross my heart and I hope to die That I'll only stay with you one more night And I know I said it a million times But I'll only stay with you one more night Try to tell you no but my body keeps on telling you yes Try to tell you stop but your lipstick got me so out of breath I'll be waking up in the morning probably hating myself And I'll be waking up feeling satisfied but guilty as hell But baby there you go again, there you go again, making me love you And I stopped using my head, using my head, let it all go Got you stuck on my body, on my body like a tattoo And now I'm feeling stupid, feeling stupid running back to you So I cross my heart and I hope to die That I'll only stay with you one more night And I know I said it a million times But I'll only stay with you one more night Yeah baby give me one more night Yeah baby give me one more night Yeah baby give me one more night Baby there you go again, there you go again, making me love you And I stopped using my head, using my head, let it all go Got you stuck on my body, on my body like a tattoo Yeah, yeah, yeah, yeah So I cross my heart and I hope to die That I'll only stay with you one more night And I know I said it a million times But I'll only stay with you one more night (Yeah baby give me one more night) So I cross my heart and I hope to die That I'll only stay with you one more night And I know I said it a million times But I'll only stay with you one more night "
Confident,Demi Lovato,0.594,0.749,0.0677,0.344,"Are you ready? Ha! x3 It's time for me to take it I'm the boss right now Not gonna fake it Not when you go down Cause this is my game And you better come to play. ha I used to hold my freak back Now I'm letting go I make my own choice ha Yeah I run this show So leave the lights on ha No, you can't make me behave ha. Ha ha ha (Oh oh, oh) So you say I'm complicated That I must be outta my mind haa But you've had me underrated ha Rated, rated ah (Ah ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) It's time to get the chains out ha Is your tongue tied up? ha Cause this is my ground ah And I'm dangerous ah And you can get out ha But it's all about me tonight (tonight, ha) (Oh oh, oh) So you say I'm complicated That I must be outta my mind ahhhh But you've had me underrated Rated, rated (Ah ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) (Ah ha) (Hey! ) La, la, yeah So you say I'm complicated But you've had me underrated (Ah ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha ho) What's wrong with being, what's wrong with being What's wrong with being confident? (Ah ha ha) "
Send My Love (To Your New Lover),Adele,0.69,0.524,0.103,0.562,"[Intro] Just the guitar? Okay, cool [Verse 1] This was all you, none of it me You put your hands on on my body and told me Told me you were ready For the big one, for the big jump I'd be your last love everlasting, you and me Mmm, that was what you told me [Pre-Chorus] I'm giving you up I've forgiven it all You set me free, oh [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Verse 2] I was too strong, you were trembling You couldn't handle the hot heat rising (rising) Mmm, baby I'm so rising I was running, you were walking You couldn't keep up, you were falling down (down) Mmm, there's only one way down [Pre-Chorus] I'm giving you up I've forgiven it all You set me free, oh [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Bridge] If you're ready, if you're ready If you're ready, I am ready If you're ready, if you're ready We both know we ain't kids no more No, we ain't kids no more [Pre-Chorus] I'm giving you up I've forgiven it all You set me free, oh [Chorus] Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more Send my love to your new lover Treat her better We've gotta let go of all of our ghosts We both know we ain't kids no more [Outro] If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more If you're ready, if you're ready (Send my love to your new lover) If you're ready, are you ready? (Treat her better) We've gotta let go of all of our ghosts We both know we ain't kids no more "
Love Me Now,John Legend,0.488,0.762,0.0865,0.709,"[Verse 1] Pulling me further, further than I've been before Making me stronger, shaking me right to the core Oh, I don't know what's in the stars Never heard it from above, the world isn't ours But I know what's in my heart, if you ain't mine I'll be torn apart [Chorus] I don't know who's gonna kiss you when I'm gone So I'm gonna love you now, like it's all I have I know it'll kill me when it's over I don't wanna think about it, I want you to love me now I don't know who's gonna kiss you when I'm gone So I'm gonna love you now, like it's all I have I know it'll kill me when it's over I don't wanna think about it, I want you to love me now [Post-Chorus] Love me now, love me now Oh, oh, love me now, oh, oh, oh, yeah Love me now, love me now Oh, I want you to love me now [Verse 2] Something inside us knows there's nothing guaranteed Yeah, girl, I don't need you to tell me that you'll never leave, no When we've done all that we could to turn darkness into light, turn evil to good Even when we try so hard for that perfect kind of love, it could all fall apart [Chorus] And who's gonna kiss you when I'm gone? Oh I'm gonna love you now, like it's all I have And I know it'll kill me when it's over I don't wanna think about it, I want you to love me now [Post-Chorus] Love me now, love me now Oh, love me now, oh, oh, oh Love me now Love me now, love me now Love me now [Bridge] Oh I don't know how the years will go down, it's alright Let's make the most of every moment tonight [Chorus] I don't know who's gonna kiss you when I'm gone So I'm gonna love you now, like it's all I have I know it'll kill me when it's over I don't wanna think about it, I want you to love me now I don't know who's gonna kiss you when I'm gone So I'm gonna love you now, like it's all I have I know it'll kill me when it's over I don't wanna think about it, I just wanna love you now [Post-Chorus] Love me now, love me now Oh, oh, love you now, oh, oh, oh Love me now, love me now Love you now Oh, love you now, oh, oh, oh, oh "
Million Reasons,Lady Gaga,0.674,0.429,0.0418,0.13,"[Verse 1] You're giving me a million reasons to let you go You're giving me a million reasons to quit the show You're givin' me a million reasons Give me a million reasons Givin' me a million reasons About a million reasons If I had a highway, I would run for the hills If you could find a dry way, I'd forever be still But you're giving me a million reasons Give me a million reasons Givin' me a million reasons About a million reasons [Chorus] I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I've got a hundred million reasons to walk away But baby, I just need one good one to stay [Verse 2] Head stuck in a cycle, I look off and I stare It's like that I've stopped breathing, but completely aware 'Cause you're giving me a million reasons Give me a million reasons Givin' me a million reasons About a million reasons And if you say something that you might even mean It's hard to even fathom which parts I should believe 'Cause you're giving me a million reasons Give me a million reasons Givin' me a million reasons About a million reasons [Chorus] I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I've got a hundred million reasons to walk away But baby, I just need one good one to stay [Bridge] Hey, ehh, ehh, eyy Baby I'm bleedin', bleedin' Stay, ehh, ehhy Can't you give me what I'm needin', needin' Every heartbreak makes it hard to keep the faith But baby, I just need one good one Good one, good one, good one, good one, good one [Chorus] When I bow down to pray I try to make the worst seem better Lord, show me the way To cut through all his worn out leather I've got a hundred million reasons to walk away But baby, I just need one good one, good one Tell me that you'll be the good one, good one Baby, I just need one good one to stay "
Adventure Of A Lifetime,Coldplay,0.638,0.924,0.0359,0.529,"[Verse 1] Turn your magic on Umi she'd say Everything you want's a dream away We are legends, every day That's what she told me [Refrain] Turn your magic on, to me she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds [Chorus 1] Now I feel my heart beating, I feel my heart underneath my skin And I feel my heart beating Oh, you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again [Verse 2] Said I can't go on, not in this way I'm a dream I die by light of day Gonna hold up half the sky and say Only I own me [Chorus 2] And I feel my heart beating I feel my heart underneath my skin Oh, I can feel my heart beating Cause you make me feel Like I'm alive again Alive again Oh, you make me feel Like I'm alive again [Refrain] Turn your magic on, Umi she'd say Everything you want's a dream away Under this pressure, under this weight We are diamonds taking shape We are diamonds taking shape Repeated: (Woo hoo, woo hoo) [Bridge] If we've only got this life This adventure, oh then I And if we've only got this life You get me through And if we've only got this life This adventure, oh then I Want to share it with you With you, with you Yeah I do [Outro] (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) (Woo hoo, woo hoo) "
Feel No Ways,Drake,0.588,0.674,0.171,0.198,"[Verse] I should be downtown, whipping on the way to you You got something that belongs to me Your body language says it all Despite the things you said to me Who is it that's got you all gassed up? Changing your opinion on me I was only gone for the last few months But you don't have the time to wait on me [Hook] I try with you There's more to life than sleeping in And getting high with you I had to let go of us to show myself what I could do And that just didn't sit right with you And now you're trying to make me feel a way, on purpose Now you're throwing it back in my face, on purpose Now you're talking down on my name, on purpose, yeah And you don't feel no way, you think I deserve it World's, world's, world's famous World's, world's, world's famous [Post-Hook] Feel a way, feel a way, young nigga feel a way I've stopped listening to things you say Cause you don't mean it anyway, yeah Feel a way, feel a way, young nigga feel a way Maybe we just should have did things my way Instead of the other way [Hook] I tried with you There's more to life than sleeping in And getting high with you I had to let go of us to show myself what I could do And that just didn't sit right with you And now you're trying to make me feel a way, on purpose Now you're throwing it back in my face, on purpose Now you're talking down on my name, on purpose, yeah And you don't feel no way, you think I deserve it World's, world's, world's famous World's, world's, world's famous [Post-Hook] Yeah, yeah, yeah Yeah, yeah, yeah Feel a way, feel a way, young nigga feel a way I've stopped listening to things you say Feel a way, feel a way, young nigga feel a way I've stopped listening to things you say "
Rolling In The Deep,Adele,0.729,0.756,0.0294,0.522,"There's a fire starting in my heart Reaching a fever pitch and it's bringing me out the dark Finally I can see you crystal clear Go 'head and sell me out and I'll lay your ship bare See how I leave with every piece of you Don't underestimate the things that I will do There's a fire starting in my heart Reaching a fever pitch and its bringing me out the dark The scars of your love remind me of us They keep me thinking that we almost had it all The scars of your love they leave me breathless, I can't help feeling We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep) Baby I have no story to be told But I've heard one on you and I'm gonna make your head burn Think of me in the depths of your despair Making a home down there 'cause mine sure won't be shared The scars of your love remind me of us (You're gonna wish you never had met me) They keep me thinking that we almost had it all (Tears are gonna fall, rolling in the deep) The scars of your love they leave me breathless, I can't help feeling We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep) We could've had it all Rolling in the deep You had my heart inside your hand But you played it with a beating Throw your soul through every open door Count your blessings to find what you look for Turned my sorrow into treasured gold You pay me back in kind and reap just what you sow (You're gonna wish you never had met me) We could've had it all We could've had it all (Tears are gonna fall, rolling in the deep) It all, it all, it all, (You're gonna wish you never had met me) We could have had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside of your hand (You're gonna wish you never had met me) And you played it to the beat (Tears are gonna fall, rolling in the deep) We could've had it all (You're gonna wish you never had met me) Rolling in the deep (Tears are gonna fall, rolling in the deep) You had my heart inside your hand (You're gonna wish you never had met me) But you played it, you played it, you played it, you played it To the beat "
Black Magic,Little Mix,0.777,0.895,0.0618,0.826,"[Intro: All] All the girls on the block knocking at my door Wanna know what it is, make the boys want more [Verse 1: Perrie] Is your lover playing on your side? Said he loves you, but he ain't got time Here's the answer, come and get it At a knocked down price Hey [Verse 2: Jade] Full of honey just to make him sweet Crystal balling just to help him see What he's been missing, so come and get it While you've still got time Hey [Pre-Chorus: Leigh-Anne] Get your boy on his knees And repeat after me, say [Chorus: All] Take a sip of my secret potion, I'll make you fall in love For a spell that can't be broken, one drop should be enough Boy, you belong to me I got the recipe and it's called black magic And it's called black magic Take a sip of my secret potion, one taste and you'll be mine It's a spell that can't be broken and'll keep you up all night Boy, you belong to me I got the recipe and it's called black magic And it's called black magic [Verse 3: Jesy] If you're looking for Mr. Right Need that magic to change him over night Here's the answer, come and get it While you've still got time Hey [Pre-Chorus: Leigh-Anne] Get your boy on his knees And repeat after me, say [Chorus: All] Take a sip of my secret potion, I'll make you fall in love For a spell that can't be broken, one drop should be enough Boy, you belong to me I got the recipe and it's called black magic And it's called black magic Take a sip of my secret potion, one taste and you'll be mine It's a spell that can't be broken and'll keep you up all night Boy, you belong to me I got the recipe and it's called black magic And it's called black magic [Bridge: All] All the girls on the block knocking at my door I got the recipe Wanna know what it is make the boys want more Now you belong to me All the girls on the block knocking at my door I got the recipe Wanna know what it is make the boys want more Now you belong to me Take a sip from my secret potion, I'll make you fall in love For a spell that can't be broken, one drop should be enough Boy, you belong to me, I got the recipe And it's called, and it's called And it's called black magic [Chorus: All] Take a sip of my secret potion, I'll make you fall in love For a spell that can't be broken, one drop should be enough Boy, you belong to me I got the recipe and it's called black magic And it's called black magic Take a sip of my secret potion, one taste and you'll be mine It's a spell that can't be broken and'll keep you up all night Boy, you belong to me I got the recipe and it's called black magic And it's called black magic [Outro:All] Falling in love, falling in love Falling in love, falling in love Falling in love, falling in love Falling in love, falling in love [Jade:] Magic "
Love Me Like You Do,Ellie Goulding,0.262,0.606,0.0484,0.275,"[Verse 1] You're the light, you're the night You're the color of my blood You're the cure, you're the pain You're the only thing I wanna touch Never knew that it could mean so much So much [Verse 2] You're the fear, I don't care Cause I've never been so high Follow me to the dark Let me take you past our satellites Then You can see the world you brought to life, to life [Chorus] So love me like you do, love love love me like you do Love me like you do, love love love me like you do Touch me like you do, touch touch touch me like you do What are you waiting for? [Verse 3] Fading in, fading out On the edge of paradise Every inch of your skin is a holy grail I've got to find Only you can set my heart on fire, on fire [Pre-Chorus] Yeah, I'll let you set the pace Cause I'm not thinking straight My head spinning around I can't see clear no more What are you waiting for? [Chorus] Love me like you do, love love love me like you do Love me like you do, love love love me like you do Touch me like you do, touch touch touch me like you do What are you waiting for? Love me like you do, love love love me like you do Love me like you do, love love love me like you do Touch me like you do,touch touch touch me like you do What are you waiting for? [Pre-Chorus] I'll let you set the pace Cause I'm not thinking straight My head spinning around I can't see clear no more What are you waiting for? [Chorus] Love me like you do, love love love me like you do Love me like you do, love love love me like you do Touch me like you do, touch touch touch me like you do What are you waiting for? Love me like you do, love love love me like you do Love me like you do, love love love me like you do Touch me like you do, touch touch touch me like you do What are you waiting for? "
People Like Us,Kelly Clarkson,0.6,0.787,0.0366,0.608,"We come into this world unknown But know that we are not alone They try and knock us down But change is coming, it's our time now Hey everybody loses it Everybody wants to throw it all away sometimes And hey, yeah I know what you're going through Don't let it get the best of you, you'll make it out alive Oh, people like us we've gotta stick together Keep your head up, nothing lasts forever Here's to the damned to the lost and forgotten It's hard to get high when you're living on the bottom Oh woah oh oh woah oh We are all misfits living in a world on fire Oh woah oh oh woah oh Sing it for the people like us, the people like us Hey, this is not a funeral It's a revolution, after all your tears have turned to rage Just wait, everything will be okay Even when you're feeling like it's going down in flames Oh, people like us we've gotta stick together Keep your head up nothing lasts forever Here's to the damned, to the lost and forgotten It's hard to get high when you're living on the bottom Oh woah oh oh woah oh We are all misfits living in a world on fire Oh woah oh oh woah oh Sing it for the people like us, the people like us Oh woah oh oh woah oh You've just gotta turn it up loud when the flames get higher Oh woah oh oh woah oh Sing it for the people like us, the people like us They can't do nothing to you, they can't do nothing to me This is the life that we choose, this is the life that we bleed So throw your fists in the air, come out, come out if you dare Tonight we're gonna change forever Everybody loses it, Everybody wants to throw it all away sometimes Oh, people like us we've gotta stick together Keep your head up nothing lasts forever Here's to the damned, to the lost and forgotten It's hard to get high when you're living on the bottom Oh woah oh oh woah oh We are all misfits living in a world on fire Oh woah oh oh woah oh Sing it for the people like us, the people like us Oh woah oh oh woah oh You've just got to turn it up loud when the flames get higher Oh woah oh oh woah oh Sing it for the people like us, the people like us Oh woah oh oh woah oh We're all misfits living in a world on fire Oh woah oh oh woah oh Sing it for the people like us, the people like us Oh woah oh oh woah oh You've just got to turn it up loud when the flames get higher Oh woah oh oh woah oh Sing it for the people like us, the people like us "
Why Wait,Rascal Flatts,0.612,0.765,0.0404,0.553,"What'aya say girl, we do somethin' crazy Quit puttin' it off, you know what I'm sayin' Ain't like it ain't gonna happen, forever's a given It's already written Who we kiddin' baby, come on The stars can't line up any straighter Let's do it now and think about it later Why wait another minute For somethin' we should'a done yesterday? I know a little church With a preacher who could hook us up right away Love don't need a reason Baby I don't see how I could love you anymore than I do today So why wait Now I love your mama, let's save her some trouble And your daddy won't mind if we save him a bundle Girl it just so happens, that ring that you wanted Well guess what I bought it It's in my pocket baby, come on Let's get it done, let's get it on your left hand This is me, girl, poppin' the question Why wait another minute For somethin' we should'a done yesterday? I know a little church With a preacher who could hook us up right away Love don't need a reason Baby I don't see how I could love you anymore than I do today So why wait Let's do something crazy 'Cause crazy's what you make me Why wait another minute Wait another minute come on (come on) Well I know a little church With a preacher who could hook us up right away Love don't need a reason Baby I don't see how I could love you anymore than I do today So why wait Why wait What'aya say girl we do somethin' crazy "
Runaways,The Killers,0.414,0.837,0.0407,0.199,"Blonde hair blowin' in the summer wind A blue-eyed girl playing in the sand I'd been on a trail for a little while But that was the night that she broke down and held my hand The teenage rush, she said, 'maybe I'll just runaway, we got time' Well that ain't much... We can't wait 'til tomorrow You gotta know that this is real, baby why you wanna fight it? It's the one thing you can choose, oh! We got engaged on a Friday night I swore on the head of our unborn child that I could take care of the three of us But I got the tendency to slip when the nights get wild. It's in my blood She says she might just runaway somewhere else, some place good We can't wait 'til tomorrow You gotta know that this is real, baby why you wanna fight it? It's the one thing you can choose Let's take a chance baby we can't lose And we're all just runaways I knew that when I met you, I'm not gonna let you runaway I knew that when I held you, I wasn't lettin' go We used to look at the stars and confess our dreams Hold each other to the morning light We used to laugh, now we only fight Baby are you lonesome now? At night I come home after they go to sleep Like a stumbling ghost, I haunt these halls There's a picture of us on our wedding day I recognize the girl but I can't settle in these walls We can't wait 'til tomorrow No we're caught up in the appeal, baby why you wanna hide it? It's the last thing on my mind (Why you wanna hide it?) I turn the engine over and my body just comes alive and we all just runaway I knew that when I met you, I'm not gonna let you runaway I knew that when I held you, I wasn't lettin go, no no no! (No no no!) (And we're all just runaways) Yeah runaway (And we're all just runaways) Yeah "
Best Song Ever,One Direction,0.652,0.877,0.0465,0.486,"Maybe it's the way she walked (Wow) Straight into my heart and stole it Through the doors and past the guards (Wow), Just like she already owned it I said, ""Can you give it back to me?"" She said, ""Never in your wildest dreams"" And we danced all night to the best song ever We knew every line, now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes oh Said her name was Georgia Rose, (Wow) And her daddy was a dentist Said I had a dirty mouth (I got a dirty mouth) But she kissed me like she meant it I said, ""Can I take you home with me?"" She said, ""Never in your wildest dreams"" And we danced all night to the best song ever We knew every line, now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes oh You know, I know, you know I'll remember you, And I know, you know, I know you'll remember me, And you know, I know, you know I'll remember you, (Oh, oh, oh, yeah, yeah, yeah) And I know, you know, I hope you'll remember how we danced how we danced How we danced how we danced (1, 2, 1, 2, 3) How we danced all night to the best song ever We knew every line, now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever (We danced, we danced, it goes something like, yeah) And we danced all night to the best song ever We knew every line, now I can't remember How it goes but I know that I won't forget her 'Cause we danced all night to the best song ever I think it went oh, oh, oh I think it went yeah, yeah, yeah I think it goes oh Best song ever, It was the best song ever It was the best song ever, It was the best song ever "
Focus,Ariana Grande,0.672,0.876,0.244,0.79,"[Intro] Hey [Verse 1] I know what I came to do And that ain't gonna change So go ahead and talk your talk Cause I won't take the bait I'm over here doing what I like I'm over here working day and night And if my real ain't real enough I'm sorry for you, bae [Pre-Chorus] Let's find a light inside our universe now Where ain't nobody keep on holding us down Just come and get it, let them say what they say Cause I'm about to put them all away [Chorus: Jamie Foxx (Ariana Grande)] Focus on me, f-f-focus on me Focus on me, f-f-focus on me Focus on me (Focus), f-f-focus on me (Focus on me) Focus on me (Focus), f-f-focus on me (Focus on me) [Verse 2] I can tell you're curious It's written on your lips Ain't no need to hold it back Go 'head and talk your shit I know you're hoping that I'll react I know you're hoping I'm looking back But if my real ain't real enough Then I don't know what is [Pre-Chorus] Let's find a light inside our universe now Where ain't nobody keep on holding us down Just come and get it, let them say what they say Cause I'm about to put the mud away [Chorus: Jamie Foxx (Ariana Grande)] Focus on me, f-f-focus on me Focus on me, f-f-focus on me Focus on me (Focus), f-f-focus on me (Focus on me) Focus on me (Focus), f-f-focus on me (Focus on me) [Breakdown] 1, 2, 3, c'mon girls You're gonna like it Come on, now, now [Pre-Chorus] Let's find a light inside our universe now Where ain't nobody keep on holding us down Just come and get it, let them say what they say Cause I'm about to put the mud away [Chorus: Jamie Foxx (Ariana Grande)] Focus on me, f-f-focus on me Focus on me, f-f-focus on me Focus on me (Focus), f-f-focus on me (Focus on me) Focus on me (Focus), f-f-focus on me (Focus on me) Focus on me, f-f-focus on me Focus on me, f-f-focus on me Focus on me (Focus), f-f-focus on me (Focus on me) Focus on me (Focus), f-f-focus on me (Focus on me) "
